Country Name,Indicator Name,2016,2017,2018
Tanzania,"Population, total"," 53,050,790 "," 54,663,906 "," 56,318,348 "
Uganda,"Population, total"," 39,647,506 "," 41,162,465 "," 42,723,139 "
Ukraine,"Population, total"," 45,004,645 "," 44,831,135 "," 44,622,516 "
Upper middle income,"Population, total"," 2,617,804,661 "," 2,637,690,770 "," 2,655,635,719 "
Uruguay,"Population, total"," 3,424,132 "," 3,436,646 "," 3,449,299 "
United States,"Population, total"," 323,071,342 "," 325,147,121 "," 327,167,434 "
Uzbekistan,"Population, total"," 31,847,900 "," 32,388,600 "," 32,955,400 "
St. Vincent and the Grenadines,"Population, total"," 109,459 "," 109,827 "," 110,210 "
"Venezuela, RB","Population, total"," 29,846,179 "," 29,390,409 "," 28,870,195 "
British Virgin Islands,"Population, total"," 29,355 "," 29,577 "," 29,802 "
Virgin Islands (U.S.),"Population, total"," 107,510 "," 107,268 "," 106,977 "
Vietnam,"Population, total"," 93,638,724 "," 94,596,642 "," 95,540,395 "
Vanuatu,"Population, total"," 278,330 "," 285,510 "," 292,680 "
World,"Population, total"," 7,426,103,221 "," 7,510,990,456 "," 7,594,270,356 "
Samoa,"Population, total"," 194,535 "," 195,352 "," 196,130 "
Kosovo,"Population, total"," 1,816,200 "," 1,830,700 "," 1,845,300 "
"Yemen, Rep.","Population, total"," 27,168,210 "," 27,834,821 "," 28,498,687 "
South Africa,"Population, total"," 56,203,654 "," 57,000,451 "," 57,779,622 "
Zambia,"Population, total"," 16,363,507 "," 16,853,688 "," 17,351,822 "
Zimbabwe,"Population, total"," 14,030,390 "," 14,236,745 "," 14,439,018 "
